id	caption	abstract	facet.collaborators	facet.publication	facet.subject	facet.year	img	pdf	primary	reference	thumb	text	video
64	Incremental Visualization	Queries over large scale (petabyte) data bases often mean waiting overnight for a result to come back. Scale costs  time. Such time also means that potential avenues of  exploration are ignored because the costs are perceived to  be too high to run or even propose them. With  sampleAction we have explored whether interaction  techniques to present query results running over only  incremental samples can be presented as sufficiently  trustworthy for analysts both to make closer to real time  decisions about their queries and to be more exploratory in  their questions of the data. Our work with three teams of  analysts suggests that we can indeed accelerate and open up  the query process with such incremental visualizations.	"Fisher,Popov,schraefel"	SIGCHI	"UI,Information,Visualization,Big Data"	2012	researchImages/incvis.png	http://research.microsoft.com/pubs/163220/chi2012_interactive.pdf	Visualization	"Danyel Fisher, Igor Popov, Steven M. Drucker, and mc schraefel, Trust Me, I'm Partially Right: Incremental Visualization Lets Analysts Explore Large Datasets Faster, in Proceedings of the 2012 Conference on Human Factors in Computing Systems (CHI 2012), ACM Conference on Human Factors in Computing Systems, 5 May 2012"	thumbnail/incvis.png	chi2012_interactive.txt	http://research.microsoft.com/~sdrucker/video/timeslicehd.m4v
65	TimeSlice	"Temporal events with multiple sets of metadata attributes, i.e., facets, are ubiquitous across different domains. The capabilities of efficiently viewing and comparing events data from various perspectives are critical for revealing relationships, making hypotheses, and discovering patterns. In this paper, we present TimeSlice, an interactive faceted visualization of temporal events, which allows users to easily compare and explore timelines with different attributes on a set of facets. By directly manipulating the filtering tree, a dynamic visual representation of queries and filters in the facet space, users can simultaneously browse the focused timelines and their contexts at different levels of detail, which supports efficient navigation of multi-dimensional events data. Also presented is an initial evaluation of TimeSlice with two datasets - famous deceased people and US daily flight delays."	"Zhao,Fisher,Brinkman"	AVI	"UI,Information,Visualization,Temporal"	2012	researchImages/timeslice.png	http://research.microsoft.com/~sdrucker/papers/timeslice.pdf	Visualization	"Jian Zhao, Steven Drucker, Danyel Fisher, Donald Brinkman. TimeSlice: Interactive Faceted Browsing of Timeline Data. In AVI'12: Proceedings of the International Working Conference on Advanced Visual Interfaces, pp. 433-436, May 2012."	thumbnail/timeslice.png	timeslice.txt	
66	Big Data Interaction	"Increasingly in the 21st century,  our daily lives leave behind a  detailed digital record: our shifting  thoughts and opinions shared on  Twitter, our social relationships, our purchasing habits, our information seeking, our photos and videos - even the movements of our bodies and cars"	"Fisher,DeLine,Czerwinski"	Interactions	"UI,Information,Visualization,Big Data"	2012	researchImages/bigdata.png	http://research.microsoft.com/apps/pubs/default.aspx?id=163593	Visualization	"Danyel Fisher, Rob DeLine, Mary Czerwinski, and Steven Drucker, Interactions with Big Data Analytics, in ACM Interactions, ACM, May 2012"	thumbnail/bigdata.png	inteactions_big_data.txt	http://research.microsoft.com/apps/pubs/default.aspx?id=217732
67	DesignReflections	"In recent years many popular data visualizations have emerged that are created largely by designers whose main area of expertise is not computer science. Designers generate these visualizations using a handful of design tools and environments. To better inform the development of tools intended for designers working with data, we set out to understand designers' challenges and perspectives. We interviewed professional designers, conducted observations of designers working with data in the lab, and observed designers working with data in team settings in the wild. A set of patterns emerged from these observations from which we extract a number of themes that provide a new perspective on design considerations for visualization tool creators, as well as on known engineering problems."	"Bigelow,Fisher,Meyer"	AVI	"Visualization,Information,Design"	2013	researchImages/DesignReflections.png	http://research.microsoft.com/apps/pubs/default.aspx?id=217732	Visualization	"Alex Bigelow, Steven Drucker, Danyel Fisher, and Miriah Meyer, Reflections on How Designers Design With Data, in AVI 2014 International Working Conference on Advanced Visual Interfaces, ACM, May 2014"	thumbnail/DesignReflections.png	2014-avi-design-vis.txt	http://research.microsoft.com/apps/pubs/default.aspx?id=208568
68	GestureElicitation	Improving methods for choosing appropriate gestures for novel user interaction techniques.	"Morris,Danielescu,Fisher,Lee,schraefel,Wobbrock"	Interact	UI	2013	researchImages/gestureelicitation.png	http://research.microsoft.com/apps/pubs/default.aspx?id=208568	UI-Information	"Meredith Ringel Morris, Andreea Danielescu, Steven Drucker, Danyel Fisher, Bongshin Lee, m.c. schraefel, and Jacob O. Wobbrock, Reducing Legacy Bias in Gesture Elicitation Studies, in ACM Interactions Magazine, ACM, May 2014"	thumbnail/gestureelicitation.png	gesture_elicitation_interactions.txt	http://research.microsoft.com/apps/pubs/default.aspx?id=208568
69	IncrementalVis	"Large datasets can mean slow queries, for which users must wait. Incremental visualization systems can give faster results at a cost of accuracy. This article asked analysts to use one and report on their results. Their feedback provides suggestions for alternative visualizations to represent a query still in progress."	"Fisher,Konig"	CGA	Visualization	2013	researchImages/incrvis.png	http://research.microsoft.com/apps/pubs/default.aspx?id=208568	Visualization	"Danyel Fisher, Steven M. Drucker, and A. Christian K??nig, Exploratory Visualization Involving Incremental, Approximate Database Queries and Uncertainty, in IEEE Computer Graphics and Applications, IEEE, July 2012"	thumbnail/incrvis.png	Exploratory_CGA.txt	http://research.microsoft.com/pubs/194060/stat-sigmod2013-demo.pdf
70	Stat!	"Exploratory analysis on big data requires us to rethink data management across the entire stack ?Çô from the underlying data processing techniques to the user experience. We demonstrate Stat! ?Çô a visualization and analytics environment that allows users to rapidly experiment with exploratory queries over big data. Data scientists can use Stat! to quickly refine to the correct query, while getting immediate feedback after processing a fraction of the data. Stat! can work with multiple processing engines in the backend; in this demo, we use Stat! with the Microsoft StreamInsight streaming engine. StreamInsight is used to generate incremental early results to queries and refine these results as more data is processed. Stat! allows data scientists to explore data, dynamically compose multiple queries to generate streams of partial results, and display partial results in both textual and visual form"	"Barnett,Chandramouli,DeLine,Fisher,Goldstein,Morrison,Platt"	Sigmod	Information	2013	researchImages/stat.png	http://research.microsoft.com/pubs/194060/stat-sigmod2013-demo.pdf	UI-Information	"Mike Barnett, Badrish Chandramouli, Robert DeLine, Steven Drucker, Danyel Fisher, Jonathan Goldstein, Patrick Morrison, and John Platt, Stat! - An Interactive Analytics Environment for Big Data, in ACM SIGMOD International Conference on Management of Data (SIGMOD 2013), ACM SIGMOD, June 2013"	thumbnail/stat.png	sigde260-barnett.txt	http://research.microsoft.com/en-us/people/sdrucker/papers/
71	Narrative	"Conveying a narrative with visualizations often requires choosing an order in which to present visualizations. While evidence exists that narrative sequencing in traditional stories can affect comprehension and memory, little is known about how sequencing choices affect narrative visualization. We consider the forms and reactions to sequencing in narrative visualization presentations to provide a deeper understanding with a focus on linear, slideshow-style presentations. We conduct a qualitative analysis of 42 professional narrative visualizations to gain empirical knowledge on the forms that structure and sequence take. Based on the results of this study we propose a graph-driven approach for automatically identifying effective sequences in a set of visualizations to be presented linearly. Our approach identifies possible transitions in a visualization set and prioritizes local (visualization-to-visualization) transitions based on an objective function that minimizes the cost of transitions from the audience perspective. We conduct two studies to validate this function. We also expand the approach with additional knowledge of user preferences for different types of local transitions and the effects of global sequencing strategies on memory, preference, and comprehension. Our results include a relative ranking of types of visualization transitions by the audience perspective and support or memory and subjective rating benefits of visualization sequences that use parallelism as a structural device. We discuss how these insights can guide the design of narrative visualization and systems that support optimization of visualization sequence."	"Hullman,Riche,Fisher,Adar,Lee"	Infovis	"Information,Visualization,Presentation"	2013	researchImages/narratives.png	http://research.microsoft.com/en-us/um/people/sdrucker/papers/narrative.pdf	Visualization	"Hullman, J., Drucker, S., Henry Riche, N., Lee, B., Fisher, D., & Adar, E. (2013). A deeper understanding of sequence in narrative visualization. Visualization and Computer Graphics, IEEE Transactions on, 19(12), 2406-2415."	thumbnail/narratives.png	story_sequence_infovis_final.txt	http://research.microsoft.com/apps/video/default.aspx?id=188294
72	SandDance	"SandDance is a browser based information visualization system prototype created at Microsoft Research that scales to hundreds of thousands of items. Arbitrary datatables can be loaded and results can be filtered using facets and search and displayed in a variety of layouts. Transitions between the views are animated so that users can better maintain context. Multiple linked views allow for associations between the same items in each view. Multiple devices can simultaneusly interact with each other on the same dataset.  Using principles of information visualization, users can map any attribute into the position, color, size, opacity and layout of a dataset to help reveal patterns within the data. SandDance lets you see both the individual records, and their overall structure.  SandDance focusses on natural user interaction techniques. Touch interaction is a first class citizen, allowing the entire experience to be easily operated through a touch screen. The system also understand speech commands for searching, selecting, focusing and filtering the data. A kinect system can be used to sense gestures for moving between views of the data. Collaboration is supported by allowing multiple sets of people to interact with the same dataset. Selections and filters in one system are automatically replicated to other systems viewing the data. "	"Fernandez,Fisher"	InternalReport	"UI,Information,Visualization,Touch"	2013	researchImages/sanddance.png	http://research.microsoft.com/en-us/um/people/sdrucker/SandDance/	Visualization	Unpublished	thumbnail/sanddance.png	sanddance.txt	http://research.microsoft.com/~sdrucker/video/TouchViz2.mp4
73	TouchViz	"As more applications move from the desktop to touch devices like tablets, designers must wrestle with the costs of porting a design with as little revision of the UI as possible from one device to the other, or of optimizing the interaction per device. We consider the tradeoffs between two versions of a UI for working with data on a touch tablet. One interface is based on using the conventional desktop metaphor (WIMP) with a control panel, push buttons, and checkboxes where the mouse click is effectively replaced by a finger tap. The other interface (which we call FLUID) eliminates the control panel and focuses touch actions on the data visualization itself. We describe our design process and evaluation of each interface. We discuss the significantly better task performance and preference for the FLUID interface, in particular how touch design may challenge certain assumptions about the performance benefits of WIMP interfaces that do not hold on touch devices, such as the superiority of gestural vs. control panel based interaction."	"Fisher,Sadana,Herron,schraefel"	SIGCHI	"UI,Information,Visualization,Touch"	2013	researchImages/touchvis.png	http://research.microsoft.com/~sdrucker/papers/touchvis-CHI2013-cameraready.pdf	Visualization	"Steven M. Drucker, Danyel Fisher, Ramik Sadana, Jessica Herron, and mc schraefel, TouchViz, A Case Study Comparing Tow Interfaces for Data Analytics on Tablets, in Proceedings of the 2012 Conference on Human Factors in Computing Systems (CHI 2013), ACM Conference on Human Factors in Computing Systems, 29 April 2013"	thumbnail/touchvis.png	touchvis-CHI2013-cameraready.txt	http://research.microsoft.com/en-us/um/people/sdrucker/video/panodata.mp4.mp4
74	Panoramic Data	"Interactively exploring multidimensional datasets requires frequent switching among a range of distinct but inter-related tasks (e.g., producing different visuals based on different column sets, calculating new variables, and observing the interactions between sets of data). Existing approaches either target specific different problem domains (e.g., data-transformation or datapresentation) or expose only limited aspects of the general exploratory process; in either case, users are forced to adopt coping strategies (e.g., arranging windows or using undo as a mechanism for comparison instead of using side-by-side displays) to compensate for the lack of an integrated suite of exploratory tools. PanoramicData (PD) addresses these problems by unifying a comprehensive set of tools for visual data exploration into a hybrid pen and touch system designed to exploit the visualization advantages of large interactive displays. PD goes beyond just familiar visualizations by including direct UI support for data transformation and aggregation, filtering and brushing. Leveraging an unbounded whiteboard metaphor, users can combine these tools like building blocks to create detailed interactive visual display networks in which each visualization can act as a filter for others. Further, by operating directly on relational-databases, PD provides an approachable visual language that exposes a broad set of the expressive power of SQL, including functionally complete logic filtering, computation of aggregates and natural table joins. To understand the implications of this novel approach, we conducted a formative user study with both data and visualization experts. The results indicated that the system provided a fluid and natural user experience for probing multi-dimensional data and was able to cover the full range of queries that the users wanted to pose"	"Zgraggen,Zeleznik"	Infovis	"Information,Visualization,Touch"	2014	researchImages/panodata.png	http://research.microsoft.com/en-us/um/people/sdrucker/papers/PanoramicData.pdf	Visualization	"Zgraggen, Emanuel, Robert Zeleznik, and Steven M. Drucker. PanoramicData: Data Analysis through Pen & Touch. (2014)."	thumbnail/panodata.png	PanoramicData.txt	http://research.microsoft.com/en-us/um/people/shliu/TextPioneerTKDE.pdf
75	Topic-Lead-Lag	"Identifying which text corpus leads in the context of a topic presents a great challenge of considerable interest to researchers. Recent research into lead-lag analysis has mainly focused on estimating the overall leads and lags between two corpora. However, real-world applications have a dire need to understand lead-lag patterns both globally and locally. In this paper, we introduce TextPioneer, an interactive visual analytics tool for investigating lead-lag across corpora from the global level to the local level. In particular, we extend an existing lead-lag analysis approach to derive two-level results. To convey multiple perspectives of the results, we have designed two visualizations, a novel hybrid tree visualization that couples a radial space-filling tree with a node-link diagram and a twisted-ladder-like visualization. We have applied our method to several corpora and the evaluation shows promise, especially in support of text comparison at different levels of detail."	"Liu,Chen,Wei,Yang,Zhou"	TKDE	"Information,Visualization,Machine Learning"	2014	researchImages/leadlag.png	http://research.microsoft.com/en-us/um/people/shliu/TextPioneerTKDE.pdf	Visualization	"Liu, S., Chen, Y., Wei, H., Yang, J., Zhou, K., & Drucker, S. M. Exploring Topical Lead-Lag across Corpora. IEEE TKDE"	thumbnail/leadlag.png	textpioneerpaper.txt	http://research.microsoft.com/en-us/people/sdrucker/video/demowiz.mp4
76	Demowiz	"Showing a live software demonstration during a talk can be engaging, but it is often not easy: presenters may struggle with (or worry about) unexpected software crashes and  encounter issues such as mismatched screen resolutions or faulty network connectivity.  Furthermore, it can be difficult to recall the steps to show while talking and operating the  system all at the same time. An alternative is to present with pre-recorded screencast videos. It is, however, challenging to precisely match the narration to the video when using existing video players. We introduce DemoWiz, a video presentation system that provides an increased awareness of upcoming actions through glanceable visualizations. DemoWiz supports better control of timing by overlaying visual cues and enabling lightweight editing. A user study shows that our design significantly improves the presenters?ÇÖ perceived ease of narration and timing compared to a system without visualizations that was similar to a standard playback control. Furthermore, nine (out of ten) participants preferred DemoWiz over the standard playback control with the last expressing no preference."	"Chi,Lee"	SIGCHI	"UI,Presentation"	2014	researchImages/demowiz.png	http://research.microsoft.com/en-us/um/people/sdrucker/papers/demowiz.pdf	Presentation	"Chi, Pei-Yu, Bongshin Lee, and Steven M. Drucker. DemoWiz: re-performing software demonstrations for a live presentation. Proceedings of the 32nd annual ACM conference on Human factors in computing systems. ACM, 2014."	thumbnail/demowiz.png	demowiz.txt	
77	Refinery	"Browsing is a fundamental aspect of exploratory information-seeking. Associative browsing encompasses a common and intuitive set of exploratory strategies in which users step iteratively from familiar to novel pieces of information. In this paper, we consider associative browsing as a strategy for bottom-up exploration of large, heterogeneous networks. We present Refinery, an interactive visualization system informed by guidelines drawn from examination of several areas of literature related to exploratory information-seeking. These guidelines motivate Refinery?ÇÖs query model, which allows users to simply and expressively construct queries using heterogeneous sets of nodes. The system ranks and returns associated content using a fast, random-walk based algorithm, visualizing results and connections among them to provide explanatory context, facilitate serendipitous discovery, and stimulate continued exploration. A study of 12 academic researchers using Refinery to browse publication data related to areas of study demonstrates how the system complements existing tools in supporting discovery. "	"Kairam,Riche,Fernandez,Heer"	EuroVis	"Information,Visualization,Network"	2015	researchImages/refinery.png		Visualization	"Kairam, S., N.H. Riche, S. Drucker, R. Fernandeaz, J. Heer, Refinery: Visual Exploration of Large, Heterogeneous Networks through Associative Browsing, To Appear Eurographics Conference on Visualization, (EuroVis) 2015."	thumbnail/refinery.png	refinery-eurovis15-fin.txt	
78	Modeltracker	"Model building in machine learning is an iterative process. The performance analysis and debugging step typically involves a disruptive cognitive switch from model building to error analysis, discouraging an informed approach to model building. We present ModelTracker, an interactive visualization that subsumes information contained in numerous traditional summary statistics and graphs while displaying example-level performance and enabling direct error examination and debugging. Usage analysis from machine learning practitioners building real models with  ModelTracker over six months shows ModelTracker is used often and throughout model building. A controlled experiment focusing on ModelTracker?ÇÖs debugging capabilities shows participants prefer ModelTracker over traditional tools without a loss in model performance."	"Amershi,Chickering,Lee,Simard,Suh"	SIGCHI	"Information,Visualization,Touch,Sequences"	2015	researchImages/modeltracker.png	http://research.microsoft.com/en-us/um/people/sdrucker/papers/pn2048-amershi-fixed.pdf	Machine Learning	"Amershi, S., Chickering, M., Drucker, S., Lee, B., Simard, P., and Suh, J. (2015) ModelTracker: Redesigning Performance Analysis Tools for Machine Learning. Proceedings of the ACM Conference on Human Factors in Computing Systems (CHI 2015)."	thumbnail/modeltracker.png	pn2048-amershi-fixed.txt	http://research.microsoft.com/en-us/um/people/sdrucker/video/squeries_v1.0.mp4
79	Squeries	"Many different domains collect event sequence data and rely on finding and analyzing patterns within it to gain meaningful insights. Current systems that support such queries either provide limited expressiveness, hinder exploratory workflows or present interaction and visualization models which do not scale well to large and multi-faceted data sets. In this paper we present (s|qu)eries (pronounced 'Squeries'), a visual query interface for creating queries on sequences (series) of data, based on regular expressions. (s|qu)eries is a touchbased system that exposes the full expressive power of regular expressions in an approachable way and interleaves query specification with result visualizations. Being able to visually investigate the results of different query-parts supports debugging and encourages iterative query-building as well as exploratory work-flows. We validate our design and implementation through a set of informal interviews with data scientists that analyze event sequences on a daily basis."	"Zgraggen,Fisher,DeLine"	SIGCHI	"Information,Visualization,Touch,Sequences"	2015	researchImages/squeries.png	http://research.microsoft.com/en-us/um/people/sdrucker/papers/chi2015-squeries.pdf	Visualization	"Zgraggen, Emanuel, Steven M. Drucker, Danyel Fisher, Rob DeLine. (s|qu)eries: Visual Regular Expressions for Querying and Exploring Event Sequences. Proceedings of ACM Conference on Human Factors in Computing Systems (CHI 2015)."	thumbnail/squeries.png	chi2015-squeries.txt	
80	Bi Analytics	"Businesses are increasingly monitoring and tracking data about what it takes to keep themselves running. They collect and maintain increasingly available data, such as ? transaction and sales data stored in data warehouses, ? server log files tracking visitors, ? data from sensors tracking delays on factory floors, ? IT data logs, and ? data on their competitors and industrial sectors. Data-driven decision making—orienting business decisions around data—drives major IT initiatives across all business sectors"	"Fisher,Drucker"	CGA	"Information,Visualization"	2015	researchImages/BI.png	https://www.microsoft.com/en-us/research/wp-content/uploads/2016/02/mcg2014050022.pdf	UI-Information	"Fisher, Drucker. Editor's Introduction to Special Issue on Business Intelligence, IEEE CG&A, 2015"	thumbnail/bi.png	BIEditorIntro.txt	
81	Hanpuku	"A common work?ow for visualization designers begins with a generative tool, like D3 or Processing, to create the initial visualization;andproceedstoadrawingtool,likeAdobeIllustratororInkscape,foreditingandcleaning. Unfortunately,thisistypically a one-way process: once a visualization is exported from the generative tool into a drawing tool, it is dif?cult to make further, datadriven changes. In this paper, we propose a bridge model to allow designers to bring their work back from the drawing tool to re-edit in the generative tool. Our key insight is to recast this iteration challenge as a merge problem - similar to when two people are editing a document and changes between them need to reconciled. We also present a speci?c instantiation of this model, a tool called Hanpuku, which bridges between D3 scripts and Illustrator. We show several examples of visualizations that are iteratively created using Hanpuku in order to illustrate the ?exibility of the approach. We further describe several hypothetical tools that bridge between other visualization tools to emphasize the generality of the model. "	"Bigelow,Fisher,Meyer"	Infovis	"Information,Visualization,Design"	2016	researchImages/hanpuku.png	http://research.microsoft.com/en-us/um/people/sdrucker/papers/hanpuku.pdf	Visualization	"Bigelow, A., Drucker, S., Fisher, D., & Meyer, M. (2017). Iterating between tools to create and edit visualizations. IEEE Transactions on Visualization and Computer Graphics, 23(1), 481-490."	thumbnail/hanpuku.png	hanpuku.txt	
82	Logan	"Event processing, analysis, and visualization are increasingly important, and common, problems as telemetry and log recording become ubiquitous. We are still learning about the space of ways to both query and see the results of sequential queries against event-logged data. In this paper, we discuss our Logan event exploration prototype, which is based on regular-expression queries and result histograms; we then discuss the many factors that vary between tools, domains, and datasets — tradeoffs of factors such as session size, cardinality of events, and the presence of event arguments."	"Fisher,DeLine,Czerwinski"	Infovis	"Information,Visualization,Sequences"	2016	researchImages/logan.png	https://www.microsoft.com/en-us/research/publication/understanding-breadth-event-space-learning-logan/	Visualization	"Fisher, Drucker, DeLine, Czerwinsiki, Understanding the Breadth of the Event Space, Learnings from Logan"	thumbnail/logan.png	EVENT_2016_paper_17.txt	
83	Bones	"Large software organizations are transitioning to event data platforms as they culturally shift to better support datadriven decision making. This paper offers a case study at Microsoft during such a transition. Through qualitative interviews of 28 participants, and a quantitative survey of 1,823 respondents, we catalog a diverse set of activities that leverage event data sources, identify challenges in conducting these activities, and describe tensions that emerge in datadriven cultures as event data flow through these activities within the organization. We find that the use of event data span every job role in our interviews and survey, that different perspectives on event data create tensions between roles or teams, and that professionals report social and technical challenges across activities."	"Barik,DeLine,Fisher"	ICSE	Information	2016	researchImages/bones.png	http://static.barik.net/barik/publications/icse2016/PID4092213.pdf	UI-Information	"Barik, T., DeLine, R., Drucker, S., & Fisher, D. (2016, May). The bones of the system: a case study of logging and telemetry at Microsoft. In Proceedings of the 38th International Conference on Software Engineering Companion (pp. 92-101). ACM."	thumbnail/bones.png	bonesofthesystem.txt	
